epoch,train_loss,train_accuracy,test_recall@1,test_recall@2,test_recall@4,test_recall@8
1,1.050286546605101,59.5917225950783,39.726027846336365,62.40487098693848,86.45357489585876,97.10806608200073
2,1.06699437229692,56.88851603281133,34.39878225326538,56.16438388824463,80.21308779716492,96.9558596611023
3,1.1120416162886964,51.295674869500374,30.289193987846375,46.27092778682709,68.49315166473389,82.343989610672
4,1.1095373990996216,50.81096196868009,31.963470578193665,58.29527974128723,81.88737034797668,97.8691041469574
5,1.0915219659773296,53.374347501864285,34.24657583236694,57.83866047859192,83.71385335922241,96.49924039840698
6,1.0603171275855,57.149515287099184,35.15981733798981,57.990866899490356,83.40944051742554,98.47792983055115
7,1.0793997555593338,54.47427293064877,35.00761091709137,57.534247636795044,82.49619603157043,99.39117431640625
8,1.062287084119343,57.494407158836694,35.00761091709137,55.55555820465088,78.53881120681763,98.17351698875427
9,1.1203129783128287,49.394108873974645,30.136987566947937,55.707764625549316,92.99848079681396,100.0
10,1.115810795473928,49.580536912751676,36.52968108654022,59.36073064804077,80.21308779716492,93.60730648040771
11,1.1042499526235081,51.761744966442954,35.00761091709137,58.29527974128723,81.4307451248169,97.26027250289917
12,1.0759467956381534,54.60477255779269,30.289193987846375,57.990866899490356,91.93302989006042,98.02131056785583
13,1.0730921682095367,54.371737509321406,34.85540449619293,52.81583070755005,75.49467086791992,92.54185557365417
14,1.0586231403791753,58.00708426547353,29.680365324020386,62.70928382873535,93.75951290130615,99.54338073730469
15,1.048010042005293,58.75279642058165,34.094369411468506,58.143073320388794,77.47336626052856,96.19482755661011
16,1.0205538112845196,61.13907531692767,31.506848335266113,58.143073320388794,95.58599591255188,99.23896789550781
17,0.9862561858384846,64.09395973154362,33.637747168540955,55.859971046447754,85.3881299495697,96.49924039840698
18,0.9588508226816375,66.44295302013423,34.24657583236694,59.96955633163452,82.80060887336731,95.89041471481323
19,0.9441444352435853,67.1607009694258,37.29071617126465,57.07762837409973,83.71385335922241,98.32572340965271
20,0.9318652696168573,67.85048471290082,32.1156769990921,56.316590309143066,89.64992761611938,98.47792983055115
21,0.9087467547853343,69.66815809097689,30.289193987846375,52.81583070755005,78.08219194412231,94.52055096626282
22,0.9099770564360906,69.75205070842655,36.377474665641785,56.16438388824463,81.4307451248169,96.04262113571167
23,0.8962766418121005,70.09694258016405,32.87671208381653,55.55555820465088,79.60426211357117,95.281583070755
24,0.8856075846108814,70.73079791200595,33.028918504714966,56.77320957183838,82.343989610672,98.63013625144958
25,0.8629227318397482,72.33407904548844,37.442922592163086,61.33942008018494,84.93150472640991,95.73820233345032
26,0.8587923645084248,72.75354213273675,35.768646001815796,60.57838797569275,82.49619603157043,99.54338073730469
27,0.8421828991925867,73.70432513049963,32.57229924201965,56.01217746734619,83.86605978012085,96.80365324020386
28,0.8507373137850979,73.75093214019388,34.85540449619293,55.09893298149109,80.97412586212158,96.19482755661011
29,0.8266169639730703,75.36353467561521,35.15981733798981,59.66514348983765,82.95281529426575,98.78234267234802
30,0.8243469805036526,75.16778523489933,36.52968108654022,59.817349910736084,87.06240653991699,98.63013625144958
31,0.7505391200561295,79.97762863534675,28.614917397499084,56.316590309143066,81.58295154571533,93.91171932220459
32,0.7405118253095927,80.76062639821029,34.24657583236694,56.62100315093994,81.73515796661377,97.71689772605896
33,0.7219590190673034,82.36390753169277,26.331812143325806,49.31506812572479,76.86453461647034,93.45510005950928
