epoch,train_loss,train_accuracy,test_recall@1,test_recall@2,test_recall@4,test_recall@8
1,1.0948203012124815,55.876865671641795,46.27363681793213,68.07563900947571,88.09788227081299,96.77419066429138
2,1.0366204900528069,60.51305970149253,32.92547166347504,49.49944019317627,74.74972009658813,91.43492579460144
3,1.0068790434901393,62.83582089552239,37.37486004829407,56.84093236923218,77.30811834335327,94.10455822944641
4,0.9765057489720743,65.5223880597015,32.70300328731537,48.05338978767395,72.96996116638184,90.98998308181763
5,0.9686678346858095,65.43843283582089,33.59287977218628,50.05561709403992,75.75083374977112,91.76862835884094
6,0.9352254974975515,68.32089552238806,33.70411396026611,51.724135875701904,80.86762428283691,94.43826079368591
7,0.9012749105914315,70.2518656716418,31.25694990158081,49.61067736148834,73.41490387916565,90.32257795333862
8,0.8994549766850116,70.71828358208954,33.81534814834595,52.057838439941406,80.75639009475708,94.66072916984558
9,0.9861760262455513,63.4794776119403,32.14682936668396,51.501667499542236,81.2013328075409,96.77419066429138
10,1.023808493543027,59.785447761194035,35.26139855384827,53.61512303352356,76.75194144248962,91.10121726989746
11,0.9405340344825788,66.27798507462687,32.70300328731537,49.49944019317627,76.64070725440979,92.10233092308044
12,0.9237469341327895,68.51679104477611,35.26139855384827,51.167964935302734,77.19688415527344,93.99332404136658
13,1.0754596623911787,54.11380597014925,34.7052276134491,54.949939250946045,77.30811834335327,91.43492579460144
14,1.0476254291498839,58.013059701492544,32.14682936668396,50.38931965827942,76.64070725440979,92.65850782394409
15,1.0267205406480762,60.05597014925373,32.70300328731537,51.167964935302734,74.41601157188416,93.21467876434326
16,0.9662965216298601,65.31716417910448,32.92547166347504,48.72079789638519,73.19243550300598,91.54615998268127
17,0.917482753387138,68.78731343283582,35.70633828639984,51.83537006378174,75.3058910369873,90.10010957717896
18,0.8786461899974453,71.76305970149254,32.8142374753952,50.278085470199585,78.19799184799194,94.66072916984558
19,0.8498718413399227,73.43283582089552,34.371522068977356,48.9432692527771,78.53170037269592,94.54949498176575
20,0.8233145663542534,75.55037313432837,42.71412491798401,60.845381021499634,79.53280806541443,95.7730770111084
21,0.8067666045098162,76.29664179104478,31.479421257972717,46.94104492664337,72.41379022598267,90.98998308181763
22,0.8926702416210032,70.75559701492537,53.503888845443726,74.52725172042847,90.43381214141846,98.44270944595337
23,0.7831601958221464,78.48880597014926,55.39488196372986,77.64182090759277,92.76974201202393,97.99777269363403
24,0.7405124727692177,81.67910447761194,82.86985158920288,90.54504632949829,94.54949498176575,97.10789322853088
25,0.674642361789497,86.09141791044776,83.20355415344238,90.65628051757812,94.99443173408508,96.88542485237122
26,0.6236937425697028,89.21641791044776,78.97663712501526,88.32035064697266,93.99332404136658,96.21801376342773
27,0.6021973651514124,90.39179104477611,86.65183186531067,92.10233092308044,95.66184282302856,97.66406416893005
28,0.685714458863237,85.37313432835822,83.53726267814636,90.76751470565796,94.88319754600525,97.66406416893005
29,0.5700894021721029,92.10820895522389,86.0956609249115,92.32479929924011,95.21690607070923,96.77419066429138
30,0.5526628407302188,92.705223880597,84.53837037086487,92.21356511116028,96.44048810005188,98.33147525787354
31,0.4478779761204079,97.2481343283582,90.10010957717896,94.66072916984558,97.10789322853088,98.5539436340332
32,0.44531182737937614,97.34141791044776,89.54393267631531,93.88208985328674,96.55172228813171,98.8876461982727
33,0.4337143798150233,97.61194029850746,88.76529335975647,93.10344457626343,96.1067795753479,98.44270944595337
34,0.4440027616139668,97.10820895522389,89.76640105247498,94.54949498176575,96.32924795150757,98.5539436340332
35,0.4363871275266605,97.36007462686567,90.10010957717896,94.88319754600525,96.77419066429138,97.66406416893005
36,0.4169821603751894,98.15298507462687,89.54393267631531,93.10344457626343,96.32924795150757,98.44270944595337
37,0.42031853423634574,97.9384328358209,91.87986254692078,95.21690607070923,97.33036160469055,98.2202410697937
38,0.4182496760763339,98.10634328358209,92.10233092308044,95.88431119918823,98.10900688171387,98.8876461982727
39,0.41061783670934277,98.21828358208955,90.21134376525879,94.88319754600525,96.88542485237122,98.33147525787354
40,0.4214308265207419,97.78917910447761,90.32257795333862,94.99443173408508,96.44048810005188,97.99777269363403
41,0.41890303056631517,97.9384328358209,91.10121726989746,95.21690607070923,97.21912741661072,98.66517782211304
42,0.41331121305476376,98.33955223880596,90.21134376525879,95.32814025878906,97.33036160469055,98.99888038635254
43,0.4034457470498868,98.57276119402985,91.99109673500061,95.10566592216492,97.44159579277039,99.44382309913635
